Yo'nalishlar,Ta’lim texnikasi
Mаtematik tahlil ,Fikriy hujum metodi
Sun’iy intellekt,klaster metodi
Matematik fizika va funksional analiz,Fikriy hujum metodi
Mаtematik tahlil ,zakovatli zukko metodi
Sun’iy intellekt,6x6x6 metodi
Ehtimollar nazariyasi,Fikriy hujum metodi
Ehtimollar nazariyasi,Analogiya metodi
Mаtematik tahlil ,Taqqoslash usuli
Ehtimollar nazariyasi,Fikriy hujum metodi
Sun’iy intellekt,Taqqoslash usuli
Sun’iy intellekt,Analogiya metodi
Mаtematik tahlil ,Analogiya metodi
Matematik fizika va funksional analiz,Taqqoslash usuli
Differensial tenglamalar,Induksiya metodi
Matematik modellashtirish,Deduksiya metodi
Matematik fizika va funksional analiz,klaster metodi
Algebra va geometriya ,Induksiya metodi
Sun’iy intellekt,Induksiya metodi
Algebra va geometriya ,6x6x6 metodi
Matematik fizika va funksional analiz,klaster metodi
Matematik modellashtirish,klaster metodi
Matematik modellashtirish,Induksiya metodi
Kompyuter ilmlari ,Fikriy hujum metodi
Matematik modellashtirish,6x6x6 metodi
Differensial tenglamalar,6x6x6 metodi
Matematik modellashtirish,Analogiya metodi
Matematik fizika va funksional analiz,zakovatli zukko metodi
Kompyuter ilmlari ,klaster metodi
Matematik fizika va funksional analiz,Induksiya metodi
Matematik fizika va funksional analiz,Analogiya metodi
Dasturiy injiniring,Taqqoslash usuli
Kompyuter ilmlari ,Deduksiya metodi
Matematik fizika va funksional analiz,zakovatli zukko metodi
Dasturiy injiniring,zakovatli zukko metodi
Dasturiy injiniring,zakovatli zukko metodi
Kompyuter ilmlari ,6x6x6 metodi
Algebra va geometriya ,Taqqoslash usuli
Differensial tenglamalar,zakovatli zukko metodi
Matematik modellashtirish,Taqqoslash usuli
Differensial tenglamalar,Fikriy hujum metodi
Matematik modellashtirish,zakovatli zukko metodi
Matematik fizika va funksional analiz,Deduksiya metodi
Sun’iy intellekt,Taqqoslash usuli
Kompyuter ilmlari ,Taqqoslash usuli
Differensial tenglamalar,Deduksiya metodi
Differensial tenglamalar,zakovatli zukko metodi
Matematik fizika va funksional analiz,Deduksiya metodi
Algebra va geometriya ,Taqqoslash usuli
Dasturiy injiniring,Deduksiya metodi
Matematik fizika va funksional analiz,Taqqoslash usuli
Ehtimollar nazariyasi,Taqqoslash usuli
Dasturiy injiniring,Fikriy hujum metodi
Kompyuter ilmlari ,Induksiya metodi
Dasturiy injiniring,Taqqoslash usuli
Algebra va geometriya ,zakovatli zukko metodi
Dasturiy injiniring,Analogiya metodi
Kompyuter ilmlari ,6x6x6 metodi
Algebra va geometriya ,klaster metodi
Differensial tenglamalar,Induksiya metodi
Differensial tenglamalar,Induksiya metodi
Matematik modellashtirish,Induksiya metodi
Dasturiy injiniring,Fikriy hujum metodi
Differensial tenglamalar,Taqqoslash usuli
Kompyuter ilmlari ,Fikriy hujum metodi
Mаtematik tahlil ,Taqqoslash usuli
Mаtematik tahlil ,zakovatli zukko metodi
Algebra va geometriya ,Fikriy hujum metodi
Differensial tenglamalar,Fikriy hujum metodi
Differensial tenglamalar,6x6x6 metodi
Mаtematik tahlil ,Analogiya metodi
Differensial tenglamalar,Fikriy hujum metodi
Dasturiy injiniring,6x6x6 metodi
Ehtimollar nazariyasi,Deduksiya metodi
Sun’iy intellekt,Analogiya metodi
Matematik modellashtirish,zakovatli zukko metodi
Algebra va geometriya ,Fikriy hujum metodi
Ehtimollar nazariyasi,klaster metodi
Mаtematik tahlil ,Induksiya metodi
Differensial tenglamalar,Deduksiya metodi
Matematik modellashtirish,Deduksiya metodi
Differensial tenglamalar,zakovatli zukko metodi
Kompyuter ilmlari ,6x6x6 metodi
Kompyuter ilmlari ,Deduksiya metodi
Matematik modellashtirish,Analogiya metodi
Matematik modellashtirish,Fikriy hujum metodi
Mаtematik tahlil ,Fikriy hujum metodi
Matematik modellashtirish,klaster metodi
Dasturiy injiniring,zakovatli zukko metodi
Differensial tenglamalar,Induksiya metodi
Ehtimollar nazariyasi,6x6x6 metodi
Matematik fizika va funksional analiz,Induksiya metodi
Matematik modellashtirish,Deduksiya metodi
Algebra va geometriya ,zakovatli zukko metodi
Kompyuter ilmlari ,klaster metodi
Dasturiy injiniring,Induksiya metodi
Matematik fizika va funksional analiz,Analogiya metodi
Ehtimollar nazariyasi,Fikriy hujum metodi
Matematik fizika va funksional analiz,Deduksiya metodi
Matematik modellashtirish,klaster metodi
Mаtematik tahlil ,Induksiya metodi
Kompyuter ilmlari ,6x6x6 metodi
Kompyuter ilmlari ,Analogiya metodi
Mаtematik tahlil ,Analogiya metodi
Differensial tenglamalar,Induksiya metodi
Sun’iy intellekt,Fikriy hujum metodi
Dasturiy injiniring,Induksiya metodi
Kompyuter ilmlari ,Deduksiya metodi
Algebra va geometriya ,Induksiya metodi
Kompyuter ilmlari ,Analogiya metodi
Matematik fizika va funksional analiz,klaster metodi
Kompyuter ilmlari ,Induksiya metodi
Kompyuter ilmlari ,Fikriy hujum metodi
Sun’iy intellekt,zakovatli zukko metodi
Sun’iy intellekt,klaster metodi
Ehtimollar nazariyasi,6x6x6 metodi
Differensial tenglamalar,Taqqoslash usuli
Algebra va geometriya ,Induksiya metodi
Kompyuter ilmlari ,Fikriy hujum metodi
Kompyuter ilmlari ,klaster metodi
Dasturiy injiniring,Fikriy hujum metodi
Sun’iy intellekt,6x6x6 metodi
Algebra va geometriya ,Analogiya metodi
Ehtimollar nazariyasi,Fikriy hujum metodi
Differensial tenglamalar,klaster metodi
Mаtematik tahlil ,Fikriy hujum metodi
Differensial tenglamalar,Fikriy hujum metodi
Matematik fizika va funksional analiz,Fikriy hujum metodi
Kompyuter ilmlari ,Deduksiya metodi
Ehtimollar nazariyasi,Deduksiya metodi
Matematik fizika va funksional analiz,Analogiya metodi
Algebra va geometriya ,Induksiya metodi
Mаtematik tahlil ,Fikriy hujum metodi
Sun’iy intellekt,6x6x6 metodi
Ehtimollar nazariyasi,Induksiya metodi
Ehtimollar nazariyasi,6x6x6 metodi
Kompyuter ilmlari ,Induksiya metodi
Matematik modellashtirish,Analogiya metodi
Ehtimollar nazariyasi,Fikriy hujum metodi
Dasturiy injiniring,Fikriy hujum metodi
Mаtematik tahlil ,Taqqoslash usuli
Mаtematik tahlil ,6x6x6 metodi
Dasturiy injiniring,Induksiya metodi
Dasturiy injiniring,Induksiya metodi
Dasturiy injiniring,zakovatli zukko metodi
Mаtematik tahlil ,zakovatli zukko metodi
Differensial tenglamalar,Deduksiya metodi
Mаtematik tahlil ,Taqqoslash usuli
Matematik modellashtirish,klaster metodi
Kompyuter ilmlari ,zakovatli zukko metodi
Matematik fizika va funksional analiz,klaster metodi
Differensial tenglamalar,Deduksiya metodi
Sun’iy intellekt,Deduksiya metodi
Matematik fizika va funksional analiz,Deduksiya metodi
Kompyuter ilmlari ,6x6x6 metodi
Matematik modellashtirish,6x6x6 metodi
Matematik modellashtirish,Analogiya metodi
Sun’iy intellekt,Analogiya metodi
Differensial tenglamalar,Deduksiya metodi
Dasturiy injiniring,Taqqoslash usuli
Differensial tenglamalar,Induksiya metodi
Matematik modellashtirish,6x6x6 metodi
Mаtematik tahlil ,Taqqoslash usuli
Kompyuter ilmlari ,Fikriy hujum metodi
Sun’iy intellekt,6x6x6 metodi
Kompyuter ilmlari ,6x6x6 metodi
Algebra va geometriya ,Analogiya metodi
Algebra va geometriya ,Induksiya metodi
Differensial tenglamalar,Induksiya metodi
Matematik modellashtirish,zakovatli zukko metodi
Matematik modellashtirish,klaster metodi
Dasturiy injiniring,klaster metodi
Dasturiy injiniring,klaster metodi
Dasturiy injiniring,klaster metodi
Mаtematik tahlil ,Fikriy hujum metodi
Matematik fizika va funksional analiz,Fikriy hujum metodi
Ehtimollar nazariyasi,6x6x6 metodi
Matematik fizika va funksional analiz,Deduksiya metodi
Kompyuter ilmlari ,Analogiya metodi
Matematik fizika va funksional analiz,Analogiya metodi
Mаtematik tahlil ,klaster metodi
Kompyuter ilmlari ,6x6x6 metodi
Matematik fizika va funksional analiz,zakovatli zukko metodi
Mаtematik tahlil ,Taqqoslash usuli
Ehtimollar nazariyasi,Deduksiya metodi
Matematik fizika va funksional analiz,6x6x6 metodi
Mаtematik tahlil ,Deduksiya metodi
Dasturiy injiniring,Deduksiya metodi
Matematik modellashtirish,Deduksiya metodi
Dasturiy injiniring,6x6x6 metodi
Matematik modellashtirish,klaster metodi
Sun’iy intellekt,Analogiya metodi
Sun’iy intellekt,Analogiya metodi
Sun’iy intellekt,klaster metodi
Ehtimollar nazariyasi,Deduksiya metodi
Dasturiy injiniring,Taqqoslash usuli
Matematik modellashtirish,Induksiya metodi
Mаtematik tahlil ,6x6x6 metodi
Kompyuter ilmlari ,Induksiya metodi
Mаtematik tahlil ,zakovatli zukko metodi
Kompyuter ilmlari ,klaster metodi
Algebra va geometriya ,Taqqoslash usuli
Mаtematik tahlil ,6x6x6 metodi
Matematik fizika va funksional analiz,klaster metodi
Matematik fizika va funksional analiz,Deduksiya metodi
Differensial tenglamalar,Analogiya metodi
Dasturiy injiniring,Induksiya metodi
Kompyuter ilmlari ,Fikriy hujum metodi
Kompyuter ilmlari ,Fikriy hujum metodi
Dasturiy injiniring,Taqqoslash usuli
Ehtimollar nazariyasi,Deduksiya metodi
Differensial tenglamalar,zakovatli zukko metodi
Ehtimollar nazariyasi,Induksiya metodi
Ehtimollar nazariyasi,Deduksiya metodi
Ehtimollar nazariyasi,Induksiya metodi
Dasturiy injiniring,Taqqoslash usuli
Ehtimollar nazariyasi,Taqqoslash usuli
Matematik fizika va funksional analiz,zakovatli zukko metodi
Sun’iy intellekt,Fikriy hujum metodi
Algebra va geometriya ,Deduksiya metodi
Kompyuter ilmlari ,6x6x6 metodi
Kompyuter ilmlari ,Fikriy hujum metodi
Algebra va geometriya ,Deduksiya metodi
Dasturiy injiniring,Fikriy hujum metodi
Mаtematik tahlil ,6x6x6 metodi
Dasturiy injiniring,Analogiya metodi
Kompyuter ilmlari ,Analogiya metodi
Kompyuter ilmlari ,zakovatli zukko metodi
Algebra va geometriya ,Analogiya metodi
Ehtimollar nazariyasi,Analogiya metodi
Dasturiy injiniring,klaster metodi
Matematik modellashtirish,Induksiya metodi
Algebra va geometriya ,klaster metodi
Matematik fizika va funksional analiz,klaster metodi
Kompyuter ilmlari ,zakovatli zukko metodi
Algebra va geometriya ,klaster metodi
Dasturiy injiniring,Analogiya metodi
Kompyuter ilmlari ,6x6x6 metodi
Mаtematik tahlil ,zakovatli zukko metodi
Algebra va geometriya ,zakovatli zukko metodi
Differensial tenglamalar,Taqqoslash usuli
Kompyuter ilmlari ,zakovatli zukko metodi
Dasturiy injiniring,Taqqoslash usuli
Sun’iy intellekt,zakovatli zukko metodi
Matematik modellashtirish,Induksiya metodi
Ehtimollar nazariyasi,Analogiya metodi
Dasturiy injiniring,zakovatli zukko metodi
Matematik fizika va funksional analiz,Analogiya metodi
Matematik fizika va funksional analiz,Analogiya metodi
Sun’iy intellekt,Fikriy hujum metodi
Ehtimollar nazariyasi,zakovatli zukko metodi
Differensial tenglamalar,Deduksiya metodi
Sun’iy intellekt,Fikriy hujum metodi
Sun’iy intellekt,Deduksiya metodi
Kompyuter ilmlari ,Analogiya metodi
Matematik fizika va funksional analiz,Analogiya metodi
Kompyuter ilmlari ,Fikriy hujum metodi
Matematik modellashtirish,Fikriy hujum metodi
Ehtimollar nazariyasi,Deduksiya metodi
Differensial tenglamalar,Taqqoslash usuli
Differensial tenglamalar,Deduksiya metodi
Dasturiy injiniring,Fikriy hujum metodi
Sun’iy intellekt,6x6x6 metodi
Matematik modellashtirish,Fikriy hujum metodi
Matematik fizika va funksional analiz,6x6x6 metodi
Differensial tenglamalar,Induksiya metodi
Matematik modellashtirish,Fikriy hujum metodi
Mаtematik tahlil ,Induksiya metodi
Mаtematik tahlil ,Taqqoslash usuli
Kompyuter ilmlari ,Deduksiya metodi
Matematik fizika va funksional analiz,6x6x6 metodi
Dasturiy injiniring,Deduksiya metodi
Differensial tenglamalar,Induksiya metodi
Sun’iy intellekt,6x6x6 metodi
Sun’iy intellekt,Deduksiya metodi
Differensial tenglamalar,Fikriy hujum metodi
Ehtimollar nazariyasi,Analogiya metodi
Dasturiy injiniring,Induksiya metodi
Matematik modellashtirish,Deduksiya metodi
Ehtimollar nazariyasi,Induksiya metodi
Ehtimollar nazariyasi,klaster metodi
Kompyuter ilmlari ,Induksiya metodi
Mаtematik tahlil ,6x6x6 metodi
Ehtimollar nazariyasi,klaster metodi
Ehtimollar nazariyasi,zakovatli zukko metodi
Algebra va geometriya ,6x6x6 metodi
Kompyuter ilmlari ,Analogiya metodi
Matematik fizika va funksional analiz,klaster metodi
Algebra va geometriya ,zakovatli zukko metodi
Algebra va geometriya ,Fikriy hujum metodi
Differensial tenglamalar,Induksiya metodi
Mаtematik tahlil ,Deduksiya metodi
Ehtimollar nazariyasi,Taqqoslash usuli
Mаtematik tahlil ,Induksiya metodi
Dasturiy injiniring,zakovatli zukko metodi
Differensial tenglamalar,Induksiya metodi
Matematik fizika va funksional analiz,Analogiya metodi
Mаtematik tahlil ,Fikriy hujum metodi
Sun’iy intellekt,Taqqoslash usuli
Dasturiy injiniring,klaster metodi
Kompyuter ilmlari ,klaster metodi
Matematik fizika va funksional analiz,klaster metodi
Dasturiy injiniring,zakovatli zukko metodi
Differensial tenglamalar,6x6x6 metodi
Algebra va geometriya ,6x6x6 metodi
Algebra va geometriya ,Deduksiya metodi
Differensial tenglamalar,Taqqoslash usuli
Matematik modellashtirish,klaster metodi
Algebra va geometriya ,6x6x6 metodi
Kompyuter ilmlari ,zakovatli zukko metodi
Kompyuter ilmlari ,Deduksiya metodi
Sun’iy intellekt,Fikriy hujum metodi
Ehtimollar nazariyasi,Deduksiya metodi
Matematik modellashtirish,6x6x6 metodi
Matematik fizika va funksional analiz,Analogiya metodi
Algebra va geometriya ,zakovatli zukko metodi
Kompyuter ilmlari ,Analogiya metodi
Differensial tenglamalar,klaster metodi
Algebra va geometriya ,Analogiya metodi
Ehtimollar nazariyasi,klaster metodi
Differensial tenglamalar,klaster metodi
Dasturiy injiniring,6x6x6 metodi
Dasturiy injiniring,Analogiya metodi
Algebra va geometriya ,klaster metodi
Ehtimollar nazariyasi,Taqqoslash usuli
Matematik modellashtirish,Fikriy hujum metodi
Algebra va geometriya ,Deduksiya metodi
Kompyuter ilmlari ,Deduksiya metodi
Mаtematik tahlil ,6x6x6 metodi
Algebra va geometriya ,Analogiya metodi
Algebra va geometriya ,Analogiya metodi
Differensial tenglamalar,klaster metodi
Mаtematik tahlil ,zakovatli zukko metodi
Kompyuter ilmlari ,Induksiya metodi
Algebra va geometriya ,klaster metodi
Differensial tenglamalar,Fikriy hujum metodi
Ehtimollar nazariyasi,Taqqoslash usuli
Algebra va geometriya ,Deduksiya metodi
Mаtematik tahlil ,klaster metodi
Sun’iy intellekt,Induksiya metodi
Mаtematik tahlil ,Induksiya metodi
Dasturiy injiniring,klaster metodi
Kompyuter ilmlari ,6x6x6 metodi
Matematik fizika va funksional analiz,Deduksiya metodi
Algebra va geometriya ,6x6x6 metodi
Mаtematik tahlil ,Taqqoslash usuli
Matematik fizika va funksional analiz,Induksiya metodi
Differensial tenglamalar,Induksiya metodi
Sun’iy intellekt,Fikriy hujum metodi
Kompyuter ilmlari ,Taqqoslash usuli
Mаtematik tahlil ,Induksiya metodi
Matematik fizika va funksional analiz,Taqqoslash usuli
Sun’iy intellekt,Deduksiya metodi
Dasturiy injiniring,Analogiya metodi
Kompyuter ilmlari ,Induksiya metodi
Kompyuter ilmlari ,Fikriy hujum metodi
Dasturiy injiniring,Deduksiya metodi
Algebra va geometriya ,klaster metodi
Dasturiy injiniring,Taqqoslash usuli
Kompyuter ilmlari ,klaster metodi
Kompyuter ilmlari ,6x6x6 metodi
Matematik fizika va funksional analiz,Deduksiya metodi
Sun’iy intellekt,klaster metodi
Dasturiy injiniring,zakovatli zukko metodi
Sun’iy intellekt,zakovatli zukko metodi
Dasturiy injiniring,Induksiya metodi
Differensial tenglamalar,Taqqoslash usuli
Kompyuter ilmlari ,Analogiya metodi
Matematik fizika va funksional analiz,Deduksiya metodi
Sun’iy intellekt,Induksiya metodi
Dasturiy injiniring,Fikriy hujum metodi
Matematik modellashtirish,6x6x6 metodi
Differensial tenglamalar,Taqqoslash usuli
Mаtematik tahlil ,Deduksiya metodi
Algebra va geometriya ,zakovatli zukko metodi
Sun’iy intellekt,Deduksiya metodi
Matematik fizika va funksional analiz,Analogiya metodi
Mаtematik tahlil ,zakovatli zukko metodi
Matematik modellashtirish,Analogiya metodi
Algebra va geometriya ,Fikriy hujum metodi
Matematik modellashtirish,6x6x6 metodi
Mаtematik tahlil ,Fikriy hujum metodi
Algebra va geometriya ,Induksiya metodi
Matematik modellashtirish,Induksiya metodi
Matematik fizika va funksional analiz,Fikriy hujum metodi
Dasturiy injiniring,6x6x6 metodi
Kompyuter ilmlari ,Fikriy hujum metodi
Dasturiy injiniring,6x6x6 metodi
Mаtematik tahlil ,6x6x6 metodi
Sun’iy intellekt,klaster metodi
Kompyuter ilmlari ,zakovatli zukko metodi
Differensial tenglamalar,Taqqoslash usuli
Matematik fizika va funksional analiz,6x6x6 metodi
Differensial tenglamalar,Analogiya metodi
Algebra va geometriya ,6x6x6 metodi
Kompyuter ilmlari ,6x6x6 metodi
Differensial tenglamalar,6x6x6 metodi
Differensial tenglamalar,klaster metodi
Matematik modellashtirish,zakovatli zukko metodi
Dasturiy injiniring,klaster metodi
Matematik modellashtirish,Induksiya metodi
Kompyuter ilmlari ,klaster metodi
Kompyuter ilmlari ,Analogiya metodi
Mаtematik tahlil ,Analogiya metodi
Matematik modellashtirish,klaster metodi
Ehtimollar nazariyasi,zakovatli zukko metodi
Dasturiy injiniring,Fikriy hujum metodi
Kompyuter ilmlari ,Taqqoslash usuli
Mаtematik tahlil ,zakovatli zukko metodi
Matematik modellashtirish,klaster metodi
Dasturiy injiniring,6x6x6 metodi
Matematik modellashtirish,Deduksiya metodi
Differensial tenglamalar,Taqqoslash usuli
Mаtematik tahlil ,Taqqoslash usuli
Dasturiy injiniring,Analogiya metodi
Algebra va geometriya ,Taqqoslash usuli
Algebra va geometriya ,klaster metodi
Dasturiy injiniring,6x6x6 metodi
Matematik modellashtirish,6x6x6 metodi
Mаtematik tahlil ,Induksiya metodi
Algebra va geometriya ,6x6x6 metodi
Mаtematik tahlil ,zakovatli zukko metodi
Algebra va geometriya ,6x6x6 metodi
Differensial tenglamalar,Analogiya metodi
Matematik modellashtirish,6x6x6 metodi
Differensial tenglamalar,Induksiya metodi
Algebra va geometriya ,Deduksiya metodi
Differensial tenglamalar,klaster metodi
Algebra va geometriya ,Analogiya metodi
Dasturiy injiniring,zakovatli zukko metodi
Differensial tenglamalar,Deduksiya metodi
Sun’iy intellekt,Analogiya metodi
Matematik modellashtirish,Fikriy hujum metodi
Kompyuter ilmlari ,Taqqoslash usuli
Ehtimollar nazariyasi,Fikriy hujum metodi
Differensial tenglamalar,6x6x6 metodi
Matematik fizika va funksional analiz,Deduksiya metodi
Matematik modellashtirish,6x6x6 metodi
Sun’iy intellekt,Taqqoslash usuli
Sun’iy intellekt,Analogiya metodi
Algebra va geometriya ,Taqqoslash usuli
Algebra va geometriya ,Induksiya metodi
Ehtimollar nazariyasi,Taqqoslash usuli
Dasturiy injiniring,Induksiya metodi
Matematik fizika va funksional analiz,Taqqoslash usuli
Kompyuter ilmlari ,klaster metodi
Ehtimollar nazariyasi,Induksiya metodi
Mаtematik tahlil ,Deduksiya metodi
Kompyuter ilmlari ,6x6x6 metodi
Differensial tenglamalar,zakovatli zukko metodi
Matematik modellashtirish,6x6x6 metodi
Mаtematik tahlil ,Fikriy hujum metodi
Mаtematik tahlil ,6x6x6 metodi
Ehtimollar nazariyasi,Analogiya metodi
