Yo'nalishlar,Ta’lim texnikasi,Python,Kompyuterli nigoh,Data mining,Web texnologiyalar,Suniy intellekt,o‘quvchilarning faolligi,natijasi
Ehtimollar nazariyasi,Fikriy hujum metodi,88,43,38,69,95,56,2
Ehtimollar nazariyasi,Analogiya metodi,54,51,33,55,87,47,2
Mаtematik tahlil ,Taqqoslash usuli,58,66,99,47,71,57,2
Ehtimollar nazariyasi,Fikriy hujum metodi,70,67,63,46,66,52,2
Sun’iy intellekt,Taqqoslash usuli,54,56,86,60,35,48,2
Sun’iy intellekt,Analogiya metodi,69,41,82,39,74,51,2
Mаtematik tahlil ,Analogiya metodi,46,55,91,75,93,60,2
Matematik fizika va funksional analiz,Taqqoslash usuli,31,83,94,80,82,62,3
Differensial tenglamalar,Induksiya metodi,65,55,58,50,40,45,2
Matematik modellashtirish,Deduksiya metodi,69,40,65,88,68,55,2
Matematik fizika va funksional analiz,klaster metodi,83,84,53,51,98,62,3
Algebra va geometriya ,Induksiya metodi,85,62,65,49,91,59,2
Sun’iy intellekt,Induksiya metodi,55,95,69,46,30,49,2
Algebra va geometriya ,6x6x6 metodi,90,72,71,54,68,59,2
Matematik fizika va funksional analiz,klaster metodi,64,32,73,80,41,48,2
Matematik modellashtirish,klaster metodi,48,73,88,78,90,63,3
Matematik modellashtirish,Induksiya metodi,46,86,84,76,41,56,2
Kompyuter ilmlari ,Fikriy hujum metodi,91,37,50,99,54,55,2
Matematik modellashtirish,6x6x6 metodi,41,44,88,55,55,47,2
Differensial tenglamalar,6x6x6 metodi,76,61,39,45,46,44,2
Matematik modellashtirish,Analogiya metodi,52,55,36,43,36,37,2
Matematik fizika va funksional analiz,zakovatli zukko metodi,38,77,88,68,47,53,2
Kompyuter ilmlari ,klaster metodi,88,46,43,60,53,48,2
Matematik fizika va funksional analiz,Induksiya metodi,89,74,32,66,72,56,2
Matematik fizika va funksional analiz,Analogiya metodi,69,84,68,44,33,50,2
Dasturiy injiniring,Taqqoslash usuli,54,42,62,45,71,46,2
Kompyuter ilmlari ,Deduksiya metodi,95,84,71,63,59,62,3
Matematik fizika va funksional analiz,zakovatli zukko metodi,42,42,47,61,68,43,2
Dasturiy injiniring,zakovatli zukko metodi,75,58,91,91,86,67,3
Dasturiy injiniring,zakovatli zukko metodi,45,85,39,59,54,47,2
Kompyuter ilmlari ,6x6x6 metodi,34,94,78,32,74,52,2
Algebra va geometriya ,Taqqoslash usuli,43,59,97,47,91,56,2
Differensial tenglamalar,zakovatli zukko metodi,66,54,77,94,82,62,3
Matematik modellashtirish,Taqqoslash usuli,44,78,97,41,88,58,2
Differensial tenglamalar,Fikriy hujum metodi,66,90,72,99,68,66,3
Matematik modellashtirish,zakovatli zukko metodi,85,92,75,40,91,64,3
Matematik fizika va funksional analiz,Deduksiya metodi,54,81,33,88,49,51,2
Sun’iy intellekt,Taqqoslash usuli,92,83,86,70,32,60,2
Kompyuter ilmlari ,Taqqoslash usuli,35,34,34,83,76,44,2
Differensial tenglamalar,Deduksiya metodi,78,38,49,90,64,53,2
Differensial tenglamalar,zakovatli zukko metodi,79,91,46,32,61,52,2
Matematik fizika va funksional analiz,Deduksiya metodi,42,97,43,40,85,51,2
Algebra va geometriya ,Taqqoslash usuli,96,58,38,96,54,57,2
Dasturiy injiniring,Deduksiya metodi,71,38,69,54,34,44,2
Matematik fizika va funksional analiz,Taqqoslash usuli,40,88,67,34,77,51,2
Ehtimollar nazariyasi,Taqqoslash usuli,47,99,66,89,77,63,3
Dasturiy injiniring,Fikriy hujum metodi,57,98,69,74,91,65,3
Kompyuter ilmlari ,Induksiya metodi,87,96,85,69,69,68,3
Dasturiy injiniring,Taqqoslash usuli,62,35,48,69,88,50,2
Algebra va geometriya ,zakovatli zukko metodi,88,77,70,42,74,58,2
Dasturiy injiniring,Analogiya metodi,82,71,92,56,67,61,3
Kompyuter ilmlari ,6x6x6 metodi,89,36,34,74,87,53,2
Algebra va geometriya ,klaster metodi,60,52,71,39,61,47,2
Differensial tenglamalar,Induksiya metodi,82,59,68,60,31,50,2
Differensial tenglamalar,Induksiya metodi,41,68,95,42,75,54,2
Matematik modellashtirish,Induksiya metodi,56,46,89,93,64,58,2
Dasturiy injiniring,Fikriy hujum metodi,99,59,92,57,89,66,3
Differensial tenglamalar,Taqqoslash usuli,66,51,97,49,97,60,2
Kompyuter ilmlari ,Fikriy hujum metodi,93,46,41,51,46,46,2
Mаtematik tahlil ,Taqqoslash usuli,39,94,51,79,43,51,2
Mаtematik tahlil ,zakovatli zukko metodi,93,76,58,65,81,62,3
Algebra va geometriya ,Fikriy hujum metodi,36,58,40,62,35,38,2
Differensial tenglamalar,Fikriy hujum metodi,61,80,87,55,75,60,2
Differensial tenglamalar,6x6x6 metodi,58,33,42,68,44,41,2
Mаtematik tahlil ,Analogiya metodi,58,58,61,31,76,47,2
Differensial tenglamalar,Fikriy hujum metodi,51,56,96,85,50,56,2
Dasturiy injiniring,6x6x6 metodi,76,88,35,48,86,56,2
Ehtimollar nazariyasi,Deduksiya metodi,98,32,30,87,67,52,2
Sun’iy intellekt,Analogiya metodi,44,63,90,64,93,59,2
Matematik modellashtirish,zakovatli zukko metodi,54,53,41,47,44,40,2
Algebra va geometriya ,Fikriy hujum metodi,56,89,75,46,82,58,2
Ehtimollar nazariyasi,klaster metodi,37,56,75,79,32,46,2
Mаtematik tahlil ,Induksiya metodi,93,73,82,53,89,65,3
Differensial tenglamalar,Deduksiya metodi,32,49,75,44,54,42,2
Matematik modellashtirish,Deduksiya metodi,46,38,67,77,89,53,2
Differensial tenglamalar,zakovatli zukko metodi,92,31,40,93,50,51,2
Kompyuter ilmlari ,6x6x6 metodi,47,93,67,61,40,51,2
Kompyuter ilmlari ,Deduksiya metodi,74,62,70,37,40,47,2
Matematik modellashtirish,Analogiya metodi,80,70,46,75,61,55,2
Matematik modellashtirish,Fikriy hujum metodi,83,49,62,69,61,54,2
Mаtematik tahlil ,Fikriy hujum metodi,31,62,59,62,55,45,2
Matematik modellashtirish,klaster metodi,51,95,67,75,44,55,2
Dasturiy injiniring,zakovatli zukko metodi,73,78,90,96,35,62,3
Differensial tenglamalar,Induksiya metodi,38,35,61,70,37,40,2
Ehtimollar nazariyasi,6x6x6 metodi,79,91,91,36,33,55,2
Matematik fizika va funksional analiz,Induksiya metodi,35,87,51,55,32,43,2
Matematik modellashtirish,Deduksiya metodi,70,89,43,41,41,47,2
Algebra va geometriya ,zakovatli zukko metodi,42,54,74,48,84,50,2
Kompyuter ilmlari ,klaster metodi,74,37,82,84,61,56,2
Dasturiy injiniring,Induksiya metodi,80,73,99,47,51,58,2
Matematik fizika va funksional analiz,Analogiya metodi,66,85,88,32,57,55,2
Ehtimollar nazariyasi,Fikriy hujum metodi,64,90,83,92,36,61,3
Matematik fizika va funksional analiz,Deduksiya metodi,78,60,87,90,53,61,3
Matematik modellashtirish,klaster metodi,49,66,33,49,89,48,2
Mаtematik tahlil ,Induksiya metodi,53,79,78,80,65,59,2
Kompyuter ilmlari ,6x6x6 metodi,95,63,65,35,68,54,2
Kompyuter ilmlari ,Analogiya metodi,71,87,41,32,47,46,2
Mаtematik tahlil ,Analogiya metodi,69,50,44,55,37,42,2
Differensial tenglamalar,Induksiya metodi,71,73,43,31,66,47,2
Sun’iy intellekt,Fikriy hujum metodi,98,67,70,91,89,69,3
Dasturiy injiniring,Induksiya metodi,43,31,99,46,57,46,2
Kompyuter ilmlari ,Deduksiya metodi,95,64,34,94,69,59,2
Algebra va geometriya ,Induksiya metodi,85,65,74,52,76,59,2
Kompyuter ilmlari ,Analogiya metodi,60,40,39,96,43,46,2
Matematik fizika va funksional analiz,klaster metodi,39,30,34,49,37,32,2
Kompyuter ilmlari ,Induksiya metodi,72,30,86,93,57,56,2
Kompyuter ilmlari ,Fikriy hujum metodi,66,76,66,78,73,60,2
Sun’iy intellekt,zakovatli zukko metodi,85,57,35,90,49,53,2
Sun’iy intellekt,klaster metodi,31,66,49,55,58,43,2
Ehtimollar nazariyasi,6x6x6 metodi,30,64,99,88,98,63,3
Differensial tenglamalar,Taqqoslash usuli,62,80,41,49,82,52,2
Algebra va geometriya ,Induksiya metodi,72,79,58,86,68,60,2
Kompyuter ilmlari ,Fikriy hujum metodi,85,72,79,52,73,60,2
Kompyuter ilmlari ,klaster metodi,67,52,74,81,79,59,2
Dasturiy injiniring,Fikriy hujum metodi,37,30,37,58,34,33,2
Sun’iy intellekt,6x6x6 metodi,76,63,94,84,72,65,3
Algebra va geometriya ,Analogiya metodi,59,46,55,37,76,46,2
Ehtimollar nazariyasi,Fikriy hujum metodi,75,97,62,30,48,52,2
Differensial tenglamalar,klaster metodi,60,43,82,77,98,60,2
Mаtematik tahlil ,Fikriy hujum metodi,91,95,93,99,92,78,4
Differensial tenglamalar,Fikriy hujum metodi,62,70,77,42,60,52,2
Matematik fizika va funksional analiz,Fikriy hujum metodi,97,33,48,99,42,53,2
Kompyuter ilmlari ,Deduksiya metodi,52,30,83,44,94,50,2
Ehtimollar nazariyasi,Deduksiya metodi,44,50,48,89,62,49,2
Matematik fizika va funksional analiz,Analogiya metodi,78,64,73,40,95,58,2
Algebra va geometriya ,Induksiya metodi,75,38,32,55,77,46,2
Mаtematik tahlil ,Fikriy hujum metodi,95,99,57,55,54,60,2
Sun’iy intellekt,6x6x6 metodi,41,34,77,66,73,48,2
Ehtimollar nazariyasi,Induksiya metodi,44,72,77,99,75,61,3
Ehtimollar nazariyasi,6x6x6 metodi,72,50,52,76,44,49,2
Kompyuter ilmlari ,Induksiya metodi,54,65,80,44,97,57,2
Matematik modellashtirish,Analogiya metodi,50,42,48,63,97,50,2
Ehtimollar nazariyasi,Fikriy hujum metodi,81,56,58,57,64,53,2
Dasturiy injiniring,Fikriy hujum metodi,37,45,65,59,47,42,2
Mаtematik tahlil ,Taqqoslash usuli,31,78,33,36,68,41,2
Mаtematik tahlil ,6x6x6 metodi,42,60,92,85,71,58,2
Dasturiy injiniring,Induksiya metodi,90,71,85,65,97,68,3
Dasturiy injiniring,Induksiya metodi,36,83,30,73,74,49,2
Dasturiy injiniring,zakovatli zukko metodi,76,42,51,50,38,43,2
Mаtematik tahlil ,zakovatli zukko metodi,55,38,44,39,71,41,2
Differensial tenglamalar,Deduksiya metodi,53,78,55,66,97,58,2
Mаtematik tahlil ,Taqqoslash usuli,79,53,48,89,68,56,2
Matematik modellashtirish,klaster metodi,47,48,65,84,98,57,2
Kompyuter ilmlari ,zakovatli zukko metodi,76,78,62,50,51,53,2
Matematik fizika va funksional analiz,klaster metodi,77,66,44,64,61,52,2
Differensial tenglamalar,Deduksiya metodi,40,39,86,54,31,42,2
Sun’iy intellekt,Deduksiya metodi,93,64,36,47,96,56,2
Matematik fizika va funksional analiz,Deduksiya metodi,71,68,70,53,89,58,2
Kompyuter ilmlari ,6x6x6 metodi,75,48,97,71,61,59,2
Matematik modellashtirish,6x6x6 metodi,68,65,65,32,37,44,2
Matematik modellashtirish,Analogiya metodi,99,70,97,42,78,64,3
Sun’iy intellekt,Analogiya metodi,89,31,89,34,73,53,2
Differensial tenglamalar,Deduksiya metodi,56,61,50,37,79,47,2
Dasturiy injiniring,Taqqoslash usuli,96,73,87,32,99,64,3
Differensial tenglamalar,Induksiya metodi,31,73,31,64,59,43,2
Matematik modellashtirish,6x6x6 metodi,37,51,73,87,65,52,2
Mаtematik tahlil ,Taqqoslash usuli,98,60,76,84,91,68,3
Kompyuter ilmlari ,Fikriy hujum metodi,59,84,45,41,46,46,2
Sun’iy intellekt,6x6x6 metodi,45,41,37,32,45,33,2
Kompyuter ilmlari ,6x6x6 metodi,59,52,34,94,59,50,2
Algebra va geometriya ,Analogiya metodi,50,99,51,61,62,54,2
Algebra va geometriya ,Induksiya metodi,45,67,43,65,52,45,2
Differensial tenglamalar,Induksiya metodi,95,31,94,96,81,66,3
Matematik modellashtirish,zakovatli zukko metodi,91,52,55,97,84,63,3
Matematik modellashtirish,klaster metodi,35,64,51,72,44,44,2
Dasturiy injiniring,klaster metodi,89,41,78,71,67,58,2
Dasturiy injiniring,klaster metodi,74,64,59,59,35,48,2
Dasturiy injiniring,klaster metodi,96,36,81,43,44,50,2
Mаtematik tahlil ,Fikriy hujum metodi,50,64,95,31,64,51,2
Matematik fizika va funksional analiz,Fikriy hujum metodi,49,39,54,95,54,48,2
Ehtimollar nazariyasi,6x6x6 metodi,83,62,65,43,94,58,2
Matematik fizika va funksional analiz,Deduksiya metodi,83,81,32,70,35,50,2
Kompyuter ilmlari ,Analogiya metodi,54,42,37,50,97,47,2
Matematik fizika va funksional analiz,Analogiya metodi,54,97,74,89,41,59,2
Mаtematik tahlil ,klaster metodi,61,42,60,49,47,43,2
Kompyuter ilmlari ,6x6x6 metodi,89,92,35,61,72,58,2
Matematik fizika va funksional analiz,zakovatli zukko metodi,31,89,52,60,34,44,2
Mаtematik tahlil ,Taqqoslash usuli,63,39,31,40,79,42,2
Ehtimollar nazariyasi,Deduksiya metodi,60,85,38,50,57,48,2
Matematik fizika va funksional analiz,6x6x6 metodi,91,36,45,33,33,40,2
Mаtematik tahlil ,Deduksiya metodi,69,46,81,81,65,57,2
Dasturiy injiniring,Deduksiya metodi,67,79,92,92,91,70,3
Matematik modellashtirish,Deduksiya metodi,36,56,43,34,84,42,2
Dasturiy injiniring,6x6x6 metodi,31,91,50,50,39,44,2
Matematik modellashtirish,klaster metodi,87,68,34,94,42,54,2
Sun’iy intellekt,Analogiya metodi,82,74,61,65,89,62,3
Sun’iy intellekt,Analogiya metodi,40,92,50,81,84,58,2
Sun’iy intellekt,klaster metodi,55,97,63,81,81,63,3
Ehtimollar nazariyasi,Deduksiya metodi,58,67,71,50,71,53,2
Dasturiy injiniring,Taqqoslash usuli,42,93,46,38,70,48,2
Matematik modellashtirish,Induksiya metodi,30,31,89,77,58,48,2
Mаtematik tahlil ,6x6x6 metodi,39,87,89,50,57,54,2
Kompyuter ilmlari ,Induksiya metodi,63,37,88,78,46,52,2
Mаtematik tahlil ,zakovatli zukko metodi,89,74,98,61,73,66,3
Kompyuter ilmlari ,klaster metodi,94,37,72,30,80,52,2
Algebra va geometriya ,Taqqoslash usuli,53,53,46,34,49,39,2
Mаtematik tahlil ,6x6x6 metodi,50,87,60,40,81,53,2
Matematik fizika va funksional analiz,klaster metodi,44,36,57,80,87,51,2
Matematik fizika va funksional analiz,Deduksiya metodi,34,34,37,93,39,40,2
Differensial tenglamalar,Analogiya metodi,67,37,54,95,79,55,2
Dasturiy injiniring,Induksiya metodi,96,78,65,97,70,68,3
Kompyuter ilmlari ,Fikriy hujum metodi,91,39,50,65,41,48,2
Kompyuter ilmlari ,Fikriy hujum metodi,31,42,82,61,45,44,2
Dasturiy injiniring,Taqqoslash usuli,61,61,40,39,44,41,2
Ehtimollar nazariyasi,Deduksiya metodi,46,69,47,84,54,50,2
Differensial tenglamalar,zakovatli zukko metodi,88,51,59,73,61,55,2
Ehtimollar nazariyasi,Induksiya metodi,80,75,50,61,68,56,2
Ehtimollar nazariyasi,Deduksiya metodi,41,76,47,50,42,43,2
Ehtimollar nazariyasi,Induksiya metodi,50,37,75,36,52,42,2
Dasturiy injiniring,Taqqoslash usuli,51,51,58,42,31,39,2
Ehtimollar nazariyasi,Taqqoslash usuli,58,81,56,79,52,54,2
Matematik fizika va funksional analiz,zakovatli zukko metodi,73,51,72,66,90,59,2
Sun’iy intellekt,Fikriy hujum metodi,85,32,92,48,52,52,2
Algebra va geometriya ,Deduksiya metodi,58,59,68,54,37,46,2
Kompyuter ilmlari ,6x6x6 metodi,87,45,30,34,32,38,2
Kompyuter ilmlari ,Fikriy hujum metodi,94,33,93,39,50,52,2
Algebra va geometriya ,Deduksiya metodi,75,56,95,70,42,56,2
Dasturiy injiniring,Fikriy hujum metodi,38,65,87,83,41,52,2
Mаtematik tahlil ,6x6x6 metodi,43,63,82,49,45,47,2
Dasturiy injiniring,Analogiya metodi,99,85,87,33,33,56,2
Kompyuter ilmlari ,Analogiya metodi,49,39,53,55,66,44,2
Kompyuter ilmlari ,zakovatli zukko metodi,83,50,67,75,33,51,2
Algebra va geometriya ,Analogiya metodi,89,86,74,49,46,57,2
Ehtimollar nazariyasi,Analogiya metodi,33,43,32,87,84,46,2
Dasturiy injiniring,klaster metodi,33,53,63,59,48,43,2
Matematik modellashtirish,Induksiya metodi,60,89,89,48,78,61,3
Algebra va geometriya ,klaster metodi,92,51,53,59,87,57,2
Matematik fizika va funksional analiz,klaster metodi,60,93,48,77,74,59,2
Kompyuter ilmlari ,zakovatli zukko metodi,84,84,47,92,76,64,3
Algebra va geometriya ,klaster metodi,86,74,62,46,99,61,3
Dasturiy injiniring,Analogiya metodi,33,49,76,44,99,50,2
Kompyuter ilmlari ,6x6x6 metodi,76,38,45,98,90,58,2
Mаtematik tahlil ,zakovatli zukko metodi,39,79,32,99,80,55,2
Algebra va geometriya ,zakovatli zukko metodi,48,71,64,75,55,52,2
Differensial tenglamalar,Taqqoslash usuli,98,93,66,78,50,64,3
Kompyuter ilmlari ,zakovatli zukko metodi,93,34,99,33,68,54,2
Dasturiy injiniring,Taqqoslash usuli,64,30,53,86,99,55,2
Sun’iy intellekt,zakovatli zukko metodi,70,83,75,89,89,68,3
Matematik modellashtirish,Induksiya metodi,86,60,53,65,59,54,2
Ehtimollar nazariyasi,Analogiya metodi,53,59,36,64,84,49,2
Dasturiy injiniring,zakovatli zukko metodi,43,39,45,83,99,52,2
Matematik fizika va funksional analiz,Analogiya metodi,73,74,85,86,50,61,3
Matematik fizika va funksional analiz,Analogiya metodi,97,79,62,36,99,62,3
Sun’iy intellekt,Fikriy hujum metodi,44,61,49,44,77,46,2
Ehtimollar nazariyasi,zakovatli zukko metodi,50,71,55,43,86,51,2
Differensial tenglamalar,Deduksiya metodi,66,87,50,98,32,56,2
Sun’iy intellekt,Fikriy hujum metodi,66,78,48,41,90,54,2
Sun’iy intellekt,Deduksiya metodi,70,62,79,97,62,62,3
Kompyuter ilmlari ,Analogiya metodi,53,90,90,57,87,63,3
Matematik fizika va funksional analiz,Analogiya metodi,72,70,68,78,46,56,2
Kompyuter ilmlari ,Fikriy hujum metodi,99,99,94,34,31,60,2
Matematik modellashtirish,Fikriy hujum metodi,51,86,95,45,80,60,2
Ehtimollar nazariyasi,Deduksiya metodi,68,69,67,89,88,64,3
Differensial tenglamalar,Taqqoslash usuli,39,93,92,78,93,66,3
Differensial tenglamalar,Deduksiya metodi,61,36,50,49,55,42,2
Dasturiy injiniring,Fikriy hujum metodi,97,44,43,56,69,52,2
Sun’iy intellekt,6x6x6 metodi,87,57,55,92,95,64,3
Matematik modellashtirish,Fikriy hujum metodi,54,32,73,71,35,44,2
Matematik fizika va funksional analiz,6x6x6 metodi,68,81,52,79,72,59,2
Differensial tenglamalar,Induksiya metodi,48,98,80,40,41,51,2
Matematik modellashtirish,Fikriy hujum metodi,37,53,70,65,84,52,2
Mаtematik tahlil ,Induksiya metodi,38,76,44,77,71,51,2
Mаtematik tahlil ,Taqqoslash usuli,89,99,41,31,36,49,2
Kompyuter ilmlari ,Deduksiya metodi,32,32,56,69,62,42,2
Matematik fizika va funksional analiz,6x6x6 metodi,30,37,61,77,33,40,2
Dasturiy injiniring,Deduksiya metodi,99,48,61,38,41,48,2
Differensial tenglamalar,Induksiya metodi,40,75,45,30,92,47,2
Sun’iy intellekt,6x6x6 metodi,50,59,42,63,33,41,2
Sun’iy intellekt,Deduksiya metodi,57,88,56,98,54,59,2
Differensial tenglamalar,Fikriy hujum metodi,32,97,54,49,63,49,2
Ehtimollar nazariyasi,Analogiya metodi,55,34,90,38,79,49,2
Dasturiy injiniring,Induksiya metodi,35,89,73,40,95,55,2
Matematik modellashtirish,Deduksiya metodi,76,32,59,50,57,46,2
Ehtimollar nazariyasi,Induksiya metodi,91,62,64,81,63,60,2
Ehtimollar nazariyasi,klaster metodi,70,80,76,87,86,66,3
Kompyuter ilmlari ,Induksiya metodi,52,77,51,46,98,54,2
Mаtematik tahlil ,6x6x6 metodi,40,44,64,62,45,42,2
Ehtimollar nazariyasi,klaster metodi,63,95,69,57,76,60,2
Ehtimollar nazariyasi,zakovatli zukko metodi,68,99,49,30,92,56,2
Algebra va geometriya ,6x6x6 metodi,96,33,87,54,76,58,2
Kompyuter ilmlari ,Analogiya metodi,67,44,92,50,86,56,2
Matematik fizika va funksional analiz,klaster metodi,82,75,43,46,68,52,2
Algebra va geometriya ,zakovatli zukko metodi,38,35,52,88,75,48,2
Algebra va geometriya ,Fikriy hujum metodi,67,43,91,64,48,52,2
Differensial tenglamalar,Induksiya metodi,59,54,69,43,55,47,2
Mаtematik tahlil ,Deduksiya metodi,51,77,80,32,71,52,2
Ehtimollar nazariyasi,Taqqoslash usuli,48,57,74,92,48,53,2
Mаtematik tahlil ,Induksiya metodi,76,43,67,82,90,60,2
Dasturiy injiniring,zakovatli zukko metodi,65,69,59,38,93,54,2
Differensial tenglamalar,Induksiya metodi,62,81,43,82,88,59,2
Matematik fizika va funksional analiz,Analogiya metodi,70,97,97,37,31,55,2
Mаtematik tahlil ,Fikriy hujum metodi,70,84,45,91,77,61,3
Sun’iy intellekt,Taqqoslash usuli,59,41,64,40,93,50,2
Dasturiy injiniring,klaster metodi,79,50,98,77,49,59,2
Kompyuter ilmlari ,klaster metodi,96,73,62,90,38,60,2
Matematik fizika va funksional analiz,klaster metodi,97,64,94,37,74,61,3
Dasturiy injiniring,zakovatli zukko metodi,76,69,83,75,76,63,3
Differensial tenglamalar,6x6x6 metodi,44,48,55,81,51,46,2
Algebra va geometriya ,6x6x6 metodi,50,80,67,49,58,51,2
Algebra va geometriya ,Deduksiya metodi,80,33,84,57,33,48,2
Differensial tenglamalar,Taqqoslash usuli,51,74,96,95,63,63,3
Matematik modellashtirish,klaster metodi,84,30,67,35,54,45,2
Algebra va geometriya ,6x6x6 metodi,46,90,41,35,56,45,2
Kompyuter ilmlari ,zakovatli zukko metodi,37,94,86,69,43,55,2
Kompyuter ilmlari ,Deduksiya metodi,64,77,85,78,42,58,2
Sun’iy intellekt,Fikriy hujum metodi,90,78,75,91,37,62,3
Ehtimollar nazariyasi,Deduksiya metodi,72,49,68,78,93,60,2
Matematik modellashtirish,6x6x6 metodi,91,83,38,66,78,59,2
Matematik fizika va funksional analiz,Analogiya metodi,70,46,50,80,88,56,2
Algebra va geometriya ,zakovatli zukko metodi,68,84,70,68,42,55,2
Kompyuter ilmlari ,Analogiya metodi,93,40,48,40,75,49,2
Differensial tenglamalar,klaster metodi,74,30,69,48,90,52,2
Algebra va geometriya ,Analogiya metodi,41,90,62,74,98,61,3
Ehtimollar nazariyasi,klaster metodi,37,54,75,59,76,50,2
Differensial tenglamalar,klaster metodi,78,76,47,95,97,66,3
Dasturiy injiniring,6x6x6 metodi,62,65,48,57,69,50,2
Dasturiy injiniring,Analogiya metodi,44,70,68,31,92,51,2
Algebra va geometriya ,klaster metodi,58,95,80,39,43,52,2
Ehtimollar nazariyasi,Taqqoslash usuli,80,68,57,32,99,56,2
Matematik modellashtirish,Fikriy hujum metodi,56,31,67,32,45,38,2
Algebra va geometriya ,Deduksiya metodi,69,31,70,41,64,46,2
Kompyuter ilmlari ,Deduksiya metodi,94,84,74,91,78,70,3
Mаtematik tahlil ,6x6x6 metodi,54,52,53,67,57,47,2
Algebra va geometriya ,Analogiya metodi,50,83,47,65,74,53,2
Algebra va geometriya ,Analogiya metodi,82,59,89,61,96,64,3
Differensial tenglamalar,klaster metodi,96,57,73,70,92,65,3
Mаtematik tahlil ,zakovatli zukko metodi,52,77,61,86,62,56,2
Kompyuter ilmlari ,Induksiya metodi,53,68,63,85,57,54,2
Algebra va geometriya ,klaster metodi,66,36,97,66,85,58,2
Differensial tenglamalar,Fikriy hujum metodi,94,94,76,49,48,60,2
Ehtimollar nazariyasi,Taqqoslash usuli,58,89,47,64,72,55,2
